MY_COLOR,IN_FEN,OUT_FORMAT,OUT_STANDARD
WHITE,rnbqk2r/ppp1ppbp/3p1np1/8/4P3/6P1/PPPPNPBP/RNBQK2R w KQkq - 4 5,d2d4,d2d4
WHITE,rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/6P1/PPP1NPBP/RNBQK2R w KQ - 1 6,c2c4,c2c4
WHITE,rnbq1rk1/pp2ppbp/2pp1np1/8/2PPP3/6P1/PP2NPBP/RNBQK2R w KQ - 0 7,O-O,e1g1
WHITE,r1bq1rk1/pp1nppbp/2pp1np1/8/2PPP3/6P1/PP2NPBP/RNBQ1RK1 w - - 2 8,e2c3,e2c3
WHITE,r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N3P1/PP3PBP/RNBQ1RK1 w - - 0 9,d4d5,d4d5
WHITE,r1bq1rk1/pp3pbp/2pp1np1/2nPp3/2P1P3/2N3P1/PP3PBP/RNBQ1RK1 w - - 1 10,b2b4,b2b4
WHITE,r1bq1rk1/pp3pbp/n1pp1np1/3Pp3/1PP1P3/2N3P1/P4PBP/RNBQ1RK1 w - - 1 11,a2a3,a2a3
WHITE,r1bq1rk1/ppn2pbp/2pp1np1/3Pp3/1PP1P3/P1N3P1/5PBP/RNBQ1RK1 w - - 1 12,h2h3,h2h3
WHITE,r1bq1rk1/1pn2pbp/2pp1np1/p2Pp3/1PP1P3/P1N3PP/5PB1/RNBQ1RK1 w - - 0 13,b4b5,b4b5
WHITE,r1bq1rk1/1pn2pbp/3p1np1/pP1pp3/2P1P3/P1N3PP/5PB1/RNBQ1RK1 w - - 0 14,c4d5,c4d5
WHITE,r2q1rk1/1pnb1pbp/3p1np1/pP1Pp3/4P3/P1N3PP/5PB1/RNBQ1RK1 w - - 1 15,a3a4,a3a4
WHITE,r1q2rk1/1pnb1pbp/3p1np1/pP1Pp3/P3P3/2N3PP/5PB1/RNBQ1RK1 w - - 1 16,g1h2,g1h2
