INDEX,COLOR,OUT_INDEX,OUTPUT_DATA_REL,OUTPUT_DATA_FMT,OUTPUT_DATA_RAW
803,WHITE,50,c1f4,c1f4,c1f4
804,WHITE,20,a1d1,a1d1,a1d1
805,WHITE,404,c3c4,c3c4,c3c4
806,WHITE,71,d1d4,d1d4,d1d4
807,WHITE,670,f4e5,f4e5,f4e5
808,WHITE,618,d4h4,d4h4,d4h4
809,WHITE,720,h4d4,h4d4,h4d4
810,BLACK,291,f2f4,c7c5,c7c5
811,BLACK,1480,g1f3,b8c6,b8c6
812,BLACK,202,b2b3,g7g6,g7g6
813,BLACK,57,c1b2,f8g7,f8g7
814,BLACK,271,e2e3,d7d6,d7d6
815,BLACK,195,b2f6,g7c3,g7c3
816,BLACK,222,c2c4,f7f5,f7f5
817,BLACK,181,a2a3,h7h6,h7h6
818,BLACK,245,d2d4,e7e5,e7e5
819,BLACK,1460,b1c3,g8f6,g8f6
820,BLACK,117,f1d3,c8e6,c8e6
821,BLACK,97,e1f2,d8c7,d8c7
822,BLACK,317,g2g3,b7b6,b7b6
823,BLACK,438,d3e2,e6d7,e6d7
824,BLACK,380,b3b4,g6g5,g6g5
825,BLACK,566,b4b5,g5g4,g5g4
826,BLACK,359,a3a4,h6h5,h6h5
827,BLACK,545,a4a5,h5h4,h5h4
828,BLACK,734,a5b6,h4g3,h4g3
829,BLACK,1535,c3a4,f6h5,f6h5
830,BLACK,616,d4d5,e5e4,e5e4
831,BLACK,805,d5e6,e4d3,e4d3
832,BLACK,163,h1g1,a8b8,a8b8
833,BLACK,502,g3h4,b6a5,b6a5
834,BLACK,83,d1c1,e8f8,e8f8
835,BLACK,137,g1g3,b8b6,b8b6
836,WHITE,245,d2d4,d2d4,d2d4
837,WHITE,50,c1f4,c1f4,c1f4
838,WHITE,271,e2e3,e2e3,e2e3
839,WHITE,117,f1d3,f1d3,f1d3
840,WHITE,225,c2c3,c2c3,c2c3
841,WHITE,667,f4d6,f4d6,f4d6
842,WHITE,1462,b1d2,b1d2,b1d2
843,WHITE,1481,g1e2,g1e2,g1e2
844,WHITE,339,h2h3,h2h3,h2h3
845,WHITE,1,O-O,O-O,e1g1
846,WHITE,291,f2f4,f2f4,f2f4
847,WHITE,314,g2g4,g2g4,g2g4
848,WHITE,1505,e2g3,e2g3,e2g3
849,WHITE,693,g4g5,g4g5,g4g5
850,WHITE,427,d3b5,d3b5,d3b5
851,WHITE,884,g5f6,g5f6,g5f6
852,WHITE,70,d1g4,d1g4,d1g4
853,WHITE,695,g4h4,g4h4,g4h4
854,WHITE,772,b5f1,b5f1,b5f1
855,WHITE,115,f1h3,f1h3,f1h3
856,WHITE,141,g1f2,g1f2,g1f2
857,WHITE,16,a1h1,a1h1,a1h1
858,WHITE,1498,d2c4,d2c4,d2c4
859,BLACK,245,d2d4,e7e5,e7e5
860,BLACK,1480,g1f3,b8c6,b8c6
861,BLACK,1460,b1c3,g8f6,g8f6
862,BLACK,1532,c3d5,f6e4,f6e4
863,BLACK,1650,d5e3,e4d6,e4d6
864,BLACK,270,e2f3,d7c6,d7c6
865,BLACK,1551,e3c4,d6f5,d6f5
866,BLACK,82,d1e1,e8d8,e8d8
867,BLACK,120,f1e2,c8d7,c8d7
868,BLACK,102,e1f1,d8c8,d8c8
869,BLACK,181,a2a3,h7h6,h7h6
870,BLACK,337,h2h4,a7a5,a7a5
871,BLACK,317,g2g3,b7b6,b7b6
872,BLACK,1590,c4d2,f5e7,f5e7
873,BLACK,269,e2c4,d7f5,d7f5
874,BLACK,1500,d2b3,e7g6,e7g6
875,BLACK,1526,b3c5,g6f4,g6f4
876,BLACK,1642,c5d3,f4e6,f4e6
877,BLACK,604,c4a2,f5h7,f5h7
878,BLACK,55,c1d2,f8e7,f8e7
879,BLACK,19,a1e1,h8d8,h8d8
880,BLACK,123,f1e1,c8d8,c8d8
881,BLACK,103,e1d1,d8e8,d8e8
882,BLACK,165,h1e1,a8d8,a8d8
883,BLACK,86,e1e8,d8d1,d8d1
884,BLACK,1541,d3c5,e6f4,e6f4
885,BLACK,1382,e8e7,d1d2,d1d2
886,BLACK,1638,c5e6,f4d3,f4d3
887,BLACK,241,d2g5,e7b4,e7b4
888,BLACK,1704,e6f8,d3c1,d3c1
889,BLACK,176,a2d5,h7e4,h7e4
890,BLACK,1787,f8g6,c1b3,c1b3
891,BLACK,202,b2b3,g7g6,g7g6
892,BLACK,77,d1d2,e8e7,e8e7
893,BLACK,248,d2d3,e7e6,e7e6
894,BLACK,898,g5d2,b4e7,b4e7
895,BLACK,1725,g6f4,b3c5,b3c5
896,BLACK,244,d2f4,e7c5,e7c5
897,BLACK,380,b3b4,g6g5,g6g5
898,BLACK,665,f4h6,c5a3,c5a3
899,BLACK,1101,h6g5,a3b4,a3b4
900,BLACK,503,g3g4,b6b5,b6b5
901,BLACK,694,g4f5,b5c4,b5c4
902,BLACK,859,f5f6,c4c3,c4c3
903,BLACK,1045,f6f7,c3c2,c3c2
904,BLACK,565,b4c5,g5f4,g5f4
905,BLACK,882,g5h6,b4a3,b4a3
906,BLACK,1858,f7f8q,c2c1q,c2c1q
907,BLACK,1090,h6f8,a3c1,a3c1
908,BLACK,1409,f8c5,c1f4,c1f4
909,BLACK,429,d3d4,e6e5,e6e5
910,BLACK,222,c2c4,f7f5,f7f5
911,BLACK,622,d4c4,e5f5,e5f5
912,BLACK,776,c5e7,f4d2,f4d2
913,BLACK,597,c4b4,f5g5,f5g5
914,BLACK,574,b4a4,g5h5,g5h5
915,BLACK,552,a4b4,h5g5,h5g5
916,BLACK,573,b4c4,g5f5,g5f5
917,BLACK,589,c4d5,f5e4,f5e4
918,BLACK,805,d5e6,e4d3,e4d3
919,BLACK,1213,e7g5,d2b4,d2b4
920,BLACK,1029,e6f5,d3c4,d3c4
921,BLACK,858,f5g6,c4b3,c4b3
922,BLACK,1071,g6h6,b3a3,b3a3
923,BLACK,1100,h6h5,a3a4,a3a4
924,BLACK,906,h5g6,a4b3,a4b3
925,BLACK,715,h4h5,a5a4,a5a4
926,BLACK,905,h5h6,a4a3,a4a3
927,BLACK,1091,h6h7,a3a2,a3a2
928,BLACK,1878,h7h8q,a2a1q,a2a1q
929,WHITE,245,d2d4,d2d4,d2d4
930,WHITE,50,c1f4,c1f4,c1f4
931,WHITE,294,f2f3,f2f3,f2f3
932,WHITE,314,g2g4,g2g4,g2g4
933,WHITE,225,c2c3,c2c3,c2c3
934,WHITE,271,e2e3,e2e3,e2e3
935,WHITE,667,f4d6,f4d6,f4d6
936,WHITE,693,g4g5,g4g5,g4g5
937,WHITE,479,f3f4,f3f4,f3f4
938,WHITE,1480,g1f3,g1f3,g1f3
939,WHITE,668,f4g5,f4g5,f4g5
940,WHITE,163,h1g1,h1g1,h1g1
941,WHITE,1462,b1d2,b1d2,b1d2
942,WHITE,337,h2h4,h2h4,h2h4
943,WHITE,78,d1c2,d1c2,d1c2
944,WHITE,231,c2d2,c2d2,c2d2
945,WHITE,615,d4e5,d4e5,d4e5
946,WHITE,242,d2d5,d2d5,d2d5
947,WHITE,813,d5b5,d5b5,d5b5
948,WHITE,756,b5b6,b5b6,b5b6
949,WHITE,1557,f3e5,f3e5,f3e5
950,WHITE,142,g1h1,g1h1,g1h1
951,WHITE,97,e1f2,e1f2,e1f2
952,WHITE,293,f2g3,f2g3,f2g3
953,WHITE,161,h1h2,h1h2,h1h2
954,WHITE,404,c3c4,c3c4,c3c4
955,WHITE,20,a1d1,a1d1,a1d1
956,WHITE,591,c4b5,c4b5,c4b5
957,WHITE,756,b5b6,b5b6,b5b6
958,WHITE,118,f1g2,f1g2,f1g2
959,WHITE,315,g2e4,g2e4,g2e4
960,WHITE,66,d1d7,d1d7,d1d7
961,WHITE,1180,d7h7,d7h7,d7h7
962,WHITE,344,h2d2,h2d2,h2d2
963,WHITE,652,e4f3,e4f3,e4f3
964,WHITE,715,h4h5,h4h5,h4h5
965,WHITE,475,f3h5,f3h5,f3h5
966,WHITE,238,d2d7,d2d7,d2d7
967,WHITE,1183,d7e7,d7e7,d7e7
968,WHITE,1211,e7e6,e7e6,e7e6
969,WHITE,506,g3f3,g3f3,g3f3
970,WHITE,1030,e6e5,e6e5,e6e5
971,WHITE,839,e5c5,e5c5,e5c5
972,WHITE,787,c5b5,c5b5,c5b5
973,WHITE,200,b2b4,b2b4,b2b4
974,WHITE,760,b5f5,b5f5,b5f5
975,WHITE,566,b4b5,b4b5,b4b5
976,WHITE,454,e3e4,e3e4,e3e4
977,WHITE,861,f5h5,f5h5,f5h5
978,WHITE,483,f3e3,f3e3,f3e3
979,WHITE,455,e3d4,e3d4,e3d4
980,WHITE,910,h5d5,h5d5,h5d5
981,WHITE,811,d5e5,d5e5,d5e5
982,WHITE,837,e5f5,e5f5,e5f5
983,WHITE,853,f5f8,f5f8,f5f8
984,BLACK,291,f2f4,c7c5,c7c5
985,BLACK,1480,g1f3,b8c6,b8c6
986,BLACK,202,b2b3,g7g6,g7g6
987,BLACK,57,c1b2,f8g7,f8g7
988,BLACK,271,e2e3,d7d6,d7d6
989,BLACK,222,c2c4,f7f5,f7f5
990,BLACK,181,a2a3,h7h6,h7h6
991,BLACK,318,g2f3,b7c6,b7c6
992,BLACK,245,d2d4,e7e5,e7e5
993,BLACK,380,b3b4,g6g5,g6g5
994,BLACK,120,f1e2,c8d7,c8d7
995,BLACK,1460,b1c3,g8f6,g8f6
996,BLACK,1,O-O,O-O,e8g8
997,BLACK,566,b4b5,g5g4,g5g4
998,BLACK,99,e1d2,d8e7,d8e7
999,BLACK,59,c1g1,f8b8,f8b8
1000,BLACK,337,h2h4,a7a5,a7a5
1001,BLACK,133,g1g5,b8b4,b8b4
1002,BLACK,1533,c3b5,f6g4,f6g4
1003,BLACK,715,h4h5,a5a4,a5a4
1004,BLACK,616,d4d5,e5e4,e5e4
1005,BLACK,163,h1g1,a8b8,a8b8
1006,BLACK,269,e2c4,d7f5,d7f5
1007,WHITE,245,d2d4,d2d4,d2d4
1008,WHITE,50,c1f4,c1f4,c1f4
1009,WHITE,271,e2e3,e2e3,e2e3
1010,WHITE,222,c2c4,c2c4,c2c4
1011,WHITE,75,d1b3,d1b3,d1b3
1012,WHITE,1460,b1c3,b1c3,b1c3
1013,WHITE,590,c4c5,c4c5,c4c5
1014,WHITE,180,a2b3,a2b3,a2b3
1015,WHITE,615,d4e5,d4e5,d4e5
1016,WHITE,380,b3b4,b3b4,b3b4
1017,WHITE,1480,g1f3,g1f3,g1f3
1018,WHITE,117,f1d3,f1d3,f1d3
1019,WHITE,99,e1d2,e1d2,e1d2
1020,WHITE,1559,f3d4,f3d4,f3d4
1021,WHITE,337,h2h4,h2h4,h2h4
1022,WHITE,294,f2f3,f2f3,f2f3
1023,WHITE,314,g2g4,g2g4,g2g4
1024,WHITE,693,g4g5,g4g5,g4g5
1025,WHITE,163,h1g1,h1g1,h1g1
1026,WHITE,664,f4c7,f4c7,f4c7
1027,WHITE,479,f3f4,f3f4,f3f4
1028,WHITE,567,b4a5,b4a5,b4a5
1029,WHITE,146,g1c1,g1c1,g1c1
1030,WHITE,1597,d4b3,d4b3,d4b3
1031,WHITE,1535,c3a4,c3a4,c3a4
1032,WHITE,1574,a4b6,a4b6,a4b6
1033,WHITE,253,d2e2,d2e2,d2e2
1034,WHITE,11,a1a4,a1a4,a1a4
1035,WHITE,1527,b3a5,b3a5,b3a5
1036,WHITE,552,a4b4,a4b4,a4b4
1037,WHITE,562,b4b7,b4b7,b4b7
1038,WHITE,56,c1c2,c1c2,c1c2
1039,WHITE,235,c2c1,c2c1,c2c1
1040,WHITE,1149,b7b3,b7b3,b7b3
1041,BLACK,268,e2e4,d7d5,d7d5
1042,BLACK,294,f2f3,c7c6,c7c6
